"accept_language","http_user_agent","http_method",status,"_tc","len_al","len_ua"
"en-CA,en-GB;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 7.0; LG-H831 Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,38,134
"en-CA,en-GB;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 4.4.2; SM-G386W Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,38,137
en,"---",GET,200,590479,2,3
"de-de","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",GET,200,590479,5,134
"---","wonderbot/JS 1.0",GET,200,590479,3,16
"---","scrapyproject (+http://www.profound.net)",GET,301,590479,3,40
"---","Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)",GET,500,590479,3,71
"---","Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)",GET,404,590479,3,71
"---","Opera/9.01 (Windows NT 5.1; U; en)",GET,200,590479,3,34
"---","Mozilla/6.0 (compatible; MSIE 7.0a1; Windows NT 5.2; SV1)",GET,200,590479,3,57
"---","Mozilla/5.0 zgrab/0.x",GET,200,590479,3,21
"---","Mozilla/5.0 (compatible; oBot/2.3.1; +http://filterdb.iss.net/crawler/)",GET,200,590479,3,71
"---","Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)",GET,301,590479,3,76
"---","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24",GET,301,590479,3,102
"---","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16",GET,301,590479,3,120
"---","Mozilla/5.0 (Windows; U; Windows NT 5.1; zh-CN; rv:1.8.1.6) Gecko/20070725 Firefox/2.0.0.6",GET,200,590479,3,90
"---","Mozilla/5.0 (Windows NT 6.1; rv:28.0) Gecko/20100101 Firefox/28.0",GET,301,590479,3,65
"---","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0",GET,301,590479,3,72
"---","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",GET,301,590479,3,72
"---","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",GET,200,590479,3,109
"---","Mozilla/5.0 (Windows NT 5.1; rv:19.0) Gecko/20100101 Firefox/19.0",GET,301,590479,3,65
"---","Mozilla/5.0 (Windows NT 5.1; rv:19.0) Gecko/20100101 Firefox/19.0",GET,200,590479,3,65
"---","Mozilla/5.0 (Windows NT 5.1; U; en) Opera 8.00",GET,200,590479,3,46
"---","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0",GET,301,590479,3,73
"---","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",GET,302,590479,3,110
"---","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0",GET,200,590479,3,82
"---","Mozilla/4.0 (compatible; MSIE8.0; Windows NT 6.0) .NET CLR 2.0.50727)",GET,301,590479,3,69
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; TheFreeDictionary.com; .NET CLR 1.1.4322; .NET CLR 1.0.3705; .NET CLR 2.0.50727)",GET,200,590479,3,131
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; FunWebProducts; .NET CLR 1.1.4322; PeoplePal 6.2)",GET,200,590479,3,105
"---","Mozilla/4.0 (compatible; MSIE 5.0; Windows NT)",GET,301,590479,3,46
"---","Mozilla/4.0 (compatible; MSIE 5.0; Windows NT)",GET,200,590479,3,46
"---","Go-http-client/1.1",GET,301,590479,3,18
"ro-RO,ro;q=0.8,en-US;q=0.6,en;q=0.4,ru;q=0.2,es;q=0.2,id;q=0.2,tr;q=0.2,de;q=0.2","Mozilla/5.0 (Linux; Android 5.1; A5_Easy Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,80,134
"es-ES,es;q=0.8","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,14,101
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",GET,200,590479,5,136
"en-us","Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",GET,301,590479,5,128
"en-us","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3",GET,200,590479,5,116
"en-gb","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",GET,200,590479,5,134
"en-ca","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.1.32 (KHTML, like Gecko) Mobile/14C92 Twitter for iPhone",GET,200,590479,5,127
"en-US,en;q=0.8,fr;q=0.6,en-CA;q=0.4","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,35,109
"en-US,en;q=0.8,fr-CA;q=0.6,fr;q=0.4","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,35,113
"en-US,en;q=0.8,es-419;q=0.6,es;q=0.4","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,36,109
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36 OPR/42.0.2393.94",GET,301,590479,14,125
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 6.0.1; SM-N920V Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,14,137
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 5.0; SM-G900V Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",GET,200,590479,14,135
"en-US,en;q=0.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586",GET,200,590479,14,127
"en-US,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0",GET,301,590479,14,82
"en-US,*","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0",GET,200,590479,7,81
"en-US","Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2",GET,200,590479,5,67
"en-GB,en;q=0.8,en-US;q=0.6,fr;q=0.4","Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Safari/537.36",GET,200,590479,35,131
"en-GB,en;q=0.5","Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0",GET,200,590479,14,65
"en-GB,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/55.0.2883.87 Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,26,133
"en-GB,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (Linux; Android 6.0.1; SM-G925W8 Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,26,138
"en-GB,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (Linux; Android 5.1.1; HUAWEI Y560-L01 Build/HUAWEIY560-L01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",GET,200,590479,26,152
"en-GB,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (Linux; Android 5.0.2; SM-T530NU Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Safari/537.36",GET,200,590479,26,131
"en-CA,en;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 4.4.2; en-ca; SM-N900W8 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36",GET,200,590479,35,157
"en-CA,en;q=0.8,en-GB;q=0.6,en-US;q=0.4,pl;q=0.2","Mozilla/5.0 (Linux; Android 5.0.1; SGH-I337M Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,47,138
"en-CA,en-US;q=0.7,en;q=0.3","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MALNJS; rv:11.0) like Gecko",GET,200,590479,26,77
"en-CA,en-GB;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0; HTC One_M8 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,38,137
"en-CA,en-GB;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0.1; SM-G903W Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,38,137
"en-CA,en-GB;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 5.1.1; SM-G900W8 Build/LMY47X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36",GET,200,590479,38,138
"en-CA, en-US","Mozilla/5.0 (Linux; U; Android 4.4.2; en-ca; SM-T210R Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",GET,200,590479,12,132
"en-CA","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",GET,301,590479,5,68
"en, *;q=0.7","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)",GET,301,590479,11,158
en,"Opera/9.80 (Android; Opera Mini/7.5.33361/37.9178; U; en) Presto/2.12.423 Version/12.16",GET,200,590479,2,87
"de-de","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",GET,200,590479,5,134
"---",finbot,GET,200,590479,3,6
"---","Opera/9.00 (Windows NT 4.0; U; en)",GET,200,590479,3,34
"---","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; MALC)",GET,200,590479,3,185
"---","Mozilla/5.0 (X11; U; Linux i686; pt-BR; rv:1.9.0.15) Gecko/2009102815 Ubuntu/9.04 (jaunty) Firefox/3.0.15",GET,404,590479,3,105
"---","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1",GET,500,590479,3,72
"---","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",GET,200,590479,3,109
"---","Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0 ; .NET CLR 2.0.50215; SL Commerce Client v1.0; Tablet PC 2.0",GET,200,590479,3,111
"---","Mozilla/1.22 (compatible; MSIE 10.0; Windows 3.1)",GET,200,590479,3,49
"---","Java/1.7.0_79",GET,404,590479,3,13
"---","CheckMarkNetwork/1.0 (+http://www.checkmarknetwork.com/spider.html)",GET,301,590479,3,67
"---","BoogleBot 2.0",GET,301,590479,3,13
"zh-CN,zh;q=0.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36",GET,200,590479,14,120
"zh-CN","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",GET,200,590479,5,70
"nl-nl","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",GET,200,590479,5,134
"ja-jp","Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",GET,200,590479,5,128
"ja-JP,en-US;q=0.8","Mozilla/5.0 (Linux; Android 4.4.2; SH-04F Build/S7160) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.2.18",GET,200,590479,17,189
"ja-JP, en-US","Mozilla/5.0 (Linux; U; Android 4.2.2; ja-jp; SBM303SH Build/S0032) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",GET,200,590479,12,138
"ja,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,23,102
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [Pinterest/iOS]",GET,200,590479,5,124
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.1.32 (KHTML, like Gecko) Mobile/14B100 Twitter for iPhone",GET,200,590479,5,130
"en-us","Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4",GET,200,590479,5,124
"en-us","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/6.2.8 Safari/537.85.17",GET,200,590479,5,117
"en-us","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 1.1.4322)",GET,200,590479,5,146
"en-gb","Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1",GET,200,590479,5,132
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36",GET,302,590479,14,108
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",GET,200,590479,14,114
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 6.0.1; SM-G930P Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,14,137
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 5.1; VIVO XL Build/V0030UU) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,14,135
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 5.0.2; HTC One Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,14,136
"en-US,en;q=0.8","CRAZYWEBCRAWLER 0.9.10, http://www.crazywebcrawler.com",GET,200,590479,14,54
"en-US,en;q=0.5","Mozilla/5.0 (Windows NT 6.1; rv:32.0) Gecko/20100101 Firefox/32.0",GET,200,590479,14,65
"en-US,en;q=0.5","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",GET,200,590479,14,113
"en-US","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,5,113
"en-US","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; LCJB; rv:11.0) like Gecko",GET,200,590479,5,75
"en-GB,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",GET,200,590479,26,102
"en-GB,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (Linux; Android 6.0.1; SM-G920F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,26,137
"---","Mozilla/5.0 (compatible; Dataprovider.com;)",GET,302,590479,3,43
"---","Mozilla/5.0 (X11; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0",GET,200,590479,3,68
"---","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",GET,301,590479,3,109
"---","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",GET,301,590479,3,109
"---","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",GET,404,590479,3,108
"---","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",GET,500,590479,3,109
"---","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",GET,301,590479,3,109
"---","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",GET,301,590479,3,109
"---","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",GET,500,590479,3,61
"---","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",GET,302,590479,3,61
"---","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",GET,301,590479,3,110
"---","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",GET,404,590479,3,109
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MRA 4.6 (build 01425); MRSPUTNIK 1, 5, 0, 19 SW)",GET,200,590479,3,104
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)",POST,302,590479,3,55
"---","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; .NET CLR 1.1.4322)",GET,200,590479,3,69
"---","Mozilla/4.0 (compatible; ICS)",GET,200,590479,3,29
"---","Go 1.1 package http",GET,301,590479,3,19
"zh-cn","Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1; 125LA; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022)",GET,404,590479,5,121
"zh-cn","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)",GET,301,590479,5,50
"zh-CN,zh;q=0.8","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0)",GET,200,590479,14,166
"ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,35,114
"ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3","Mozilla/5.0 (Windows NT 5.1; rv:22.0) Gecko/20100101 Firefox/22.0 Paros/3.2.13",GET,404,590479,35,78
"pt-PT,pt;q=0.8,en-US;q=0.6,en;q=0.4,es;q=0.2,fr;q=0.2","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,53,109
"pt-BR,pt;q=0.8,en-US;q=0.6,en;q=0.4,es;q=0.2","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,44,109
"nl-NL,nl;q=0.8,en-US;q=0.6,en;q=0.4,de;q=0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",GET,404,590479,44,120
"ko-KR,ko;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",GET,200,590479,35,133
"ko-KR,ko;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",GET,200,590479,35,109
"ja-jp","Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4",GET,200,590479,5,133
"ja-jp","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/55.0.2883.79 Mobile/14C92 Safari/602.1",GET,200,590479,5,131
"ja-JP,ja;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0.1; SCV33 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",GET,200,590479,35,154
"ja-JP,ja;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 4.4.2; SH-01F Build/SA130) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,35,134
"ja-JP,en,*","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E233 Safari/601.1",GET,200,590479,10,133
"ja,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,23,113
"fr-fr","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",GET,200,590479,5,119
"fr-FR,fr;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,35,108
"fr-CA,fr-FR;q=0.8,fr;q=0.6,en-US;q=0.4,en;q=0.2","Mozilla/5.0 (Linux; Android 6.0.1; SM-T710 Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Safari/537.36",GET,200,590479,47,129
"es-US,en-US;q=0.8","Mozilla/5.0 (Linux; Android 5.1.1; SM-G925I Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/50.0.2661.86 Mobile Safari/537.36",GET,200,590479,17,153
"en-us,fr-be;q=0.5","Mozilla/5.0 (Windows; U; Windows NT 5.1; en; rv:1.9.0.13) Gecko/2009073022 Firefox/3.5.2 (.NET CLR 3.5.30729) SurveyBot/2.3 (DomainTools)",GET,403,590479,17,137
"en-us,en;q=0.5","Mechanize/2.7.5 Ruby/2.3.0p0 (http://github.com/sparklemotion/mechanize/)",GET,200,590479,14,73
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_3 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G34 Safari/601.1",GET,200,590479,5,134
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A5346a Safari/602.1",GET,200,590479,5,137
"en-us","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",GET,200,590479,5,125
"en-us","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92",GET,200,590479,5,99
"en-us","Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.1.32 (KHTML, like Gecko) Mobile/14B100 Twitter for iPhone",GET,301,590479,5,121
"en-us","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.5.17 (KHTML, like Gecko) Version/8.0.5 Safari/600.5.17",GET,200,590479,5,118
"en-us","---",GET,404,590479,5,3
"en-ca","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/55.0.2883.79 Mobile/14A456 Safari/602.1",GET,200,590479,5,143
"en-ca","Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/21.4.141508723 Mobile/13G36 Safari/600.1.4",GET,200,590479,5,133
"en-ca","Mozilla/5.0 (iPad; CPU OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A452 Safari/601.1",GET,200,590479,5,126
"en-ca","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/54.0.2840.91 Mobile/14C92 Safari/602.1",GET,200,590479,5,131
