"_time",logons,"sma5_logons",isAnomaly
"1533414300.0","53.0","62.64",Normal
"1533414600.0","54.0","56.36",Normal
"1533414900.0","50.0","54.16",Normal
"1533415200.0","50.0","53.0",Normal
"1533415500.0","49.0","51.2",Normal
"1533415800.0","53.0","51.2",Normal
"1533416100.0","51.0","50.6",Normal
"1533416400.0","52.0","51.0",Normal
"1533416700.0","52.0","51.4",Normal
"1533417000.0","53.0","52.2",Normal
"1533417300.0","53.0","52.2",Normal
"1533417600.0","53.0","52.6",Normal
"1533417900.0","52.0","52.6",Normal
"1533418200.0","53.0","52.8",Normal
"1533418500.0","54.0","53.0",Normal
"1533418800.0","54.0","53.2",Normal
"1533419100.0","55.0","53.6",Normal
"1533419400.0","56.0","54.4",Normal
"1533419700.0","54.0","54.6",Normal
"1533420000.0","56.0","55.0",Normal
"1533420300.0","58.0","55.8",Normal
"1533420600.0","56.0","56.0",Normal
"1533420900.0","56.0","56.0",Normal
"1533421200.0","58.0","56.8",Normal
"1533421500.0","57.0","57.0",Normal
"1533421800.0","57.0","56.8",Normal
"1533422100.0","53.0","56.2",Normal
"1533422400.0","52.0","55.4",Normal
"1533422700.0","52.0","54.2",Normal
"1533423000.0","53.0","53.4",Normal
"1533423300.0","52.0","52.4",Normal
"1533423600.0","52.0","52.2",Normal
"1533423900.0","25.5","46.9",Normal
"1533424200.0","15.9","39.68",Normal
"1533424500.0","86.7","46.42",Normal
"1533424800.0","78.4","51.7",Normal
"1533425100.0","80.0","57.3",Normal
"1533425400.0","15.0","55.2",Normal
"1533425700.0","30.0","58.02",Normal
"1533426000.0","78.4","56.36",Normal
"1533426300.0","50.0","50.68",Normal
"1533426600.0","52.0","45.08",Normal
"1533426900.0","53.0","52.68",Normal
"1533427200.0","51.0","56.88",Normal
"1533427500.0","50.0","51.2",Normal
"1533427800.0","51.0","51.4",Normal
"1533428100.0","9.8","42.96",Normal
"1533428400.0","39.2","40.2",Normal
"1533428700.0","50.0","40.0",Normal
"1533429000.0","60.0","42.0",Normal
"1533429300.0","51.0","42.0",Normal
"1533429600.0","62.4","52.52",Normal
"1533429900.0","25.0","49.68",Normal
"1533430200.0","52.0","50.08",Normal
"1533430500.0","50.0","48.08",Normal
"1533430800.0","47.0","47.28",Normal
"1533431100.0","47.0","44.2",Normal
"1533431400.0","47.0","48.6",Normal
"1533431700.0","47.0","47.6",Normal
"1533432000.0","45.0","46.6",Normal
"1533432300.0","45.0","46.2",Normal
"1533432600.0","43.0","45.4",Normal
"1533432900.0","39.0","43.8",Normal
"1533433200.0","39.0","42.2",Normal
"1533433500.0","39.0","41.0",Normal
"1533433800.0","38.0","39.6",Normal
"1533434100.0","29.6","36.92",Normal
"1533434400.0","18.5","32.82",Normal
"1533434700.0","43.2","33.66",Normal
"1533435000.0","36.3","33.12",Normal
"1533435300.0","6.4","26.8",Normal
"1533435600.0","11.6","23.2",Normal
"1533435900.0","33.6","26.22",Normal
"1533436200.0","16.8","20.94",Normal
"1533436500.0","26.0","18.88",Normal
"1533436800.0","26.0","22.8",Normal
"1533437100.0","27.0","25.88",Normal
"1533437400.0","35.1","26.18",Normal
"1533437700.0","26.0","28.02",Normal
"1533438000.0","12.5","25.32",Normal
"1533438300.0","14.4","23.0",Normal
"1533438600.0","41.4","25.88",Normal
"1533438900.0","11.0","21.06",Normal
"1533439200.0","23.0","20.46",Normal
"1533439500.0","23.0","22.56",Normal
"1533439800.0","23.0","24.28",Normal
"1533440100.0","22.0","20.4",Normal
"1533440400.0","23.0","22.8",Normal
"1533440700.0","23.0","22.8",Normal
"1533441000.0","23.0","22.8",Normal
"1533441300.0","22.0","22.6",Normal
"1533441600.0","21.0","22.4",Normal
"1533441900.0","21.0","22.0",Normal
"1533442200.0","19.0","21.2",Normal
"1533442500.0","19.0","20.4",Normal
"1533442800.0","32.4","22.48",Normal
"1533443100.0","12.6","20.8",Normal
"1533443400.0","28.8","22.36",Normal
"1533443700.0","17.6","22.08",Normal
"1533444000.0","9.6","20.2",Normal
"1533444300.0","19.2","17.56",Normal
"1533444600.0","16.0","18.24",Normal
"1533444900.0","27.0","17.88",Normal
"1533445200.0","13.5","17.06",Normal
"1533445500.0","14.0","17.94",Normal
"1533445800.0","14.0","16.9",Normal
"1533446100.0","13.0","16.3",Normal
"1533446400.0","13.0","13.5",Normal
"1533446700.0","12.0","13.2",Normal
"1533447000.0","12.0","12.8",Normal
"1533447300.0","11.0","12.2",Normal
"1533447600.0","11.0","11.8",Normal
"1533447900.0","11.0","11.4",Normal
"1533448200.0","10.0","11.0",Normal
"1533448500.0","10.0","10.6",Normal
"1533448800.0","9.0","10.2",Normal
"1533449100.0","9.0","9.8",Normal
"1533449400.0","8.0","9.2",Normal
"1533449700.0","8.0","8.8",Normal
"1533450000.0","6.0","8.0",Normal
"1533450300.0","6.0","7.4",Normal
"1533450600.0","1.0","5.8",Normal
"1533450900.0","6.5","5.5",Normal
"1533451200.0","5.0","4.9",Normal
"1533451500.0","1.5","4.0",Normal
"1533451800.0","2.0","3.2",Normal
"1533452100.0","1.5","3.3",Normal
"1533452400.0","5.0","3.0",Normal
"1533452700.0","3.0","2.6",Normal
"1533453000.0","1.5","2.6",Normal
"1533453300.0","5.0","3.2",Normal
"1533453600.0","5.0","3.9",Normal
"1533453900.0","6.0","4.1",Normal
"1533454200.0","5.0","4.5",Normal
"1533454500.0","5.0","5.2",Normal
"1533454800.0","5.0","5.2",Normal
"1533455100.0","5.0","5.2",Normal
"1533455400.0","5.0","5.0",Normal
"1533455700.0","6.0","5.2",Normal
"1533456000.0","6.0","5.4",Normal
"1533456300.0","6.0","5.6",Normal
"1533456600.0","6.0","5.8",Normal
"1533456900.0","6.0","6.0",Normal
"1533457200.0","7.0","6.2",Normal
"1533457500.0","6.0","6.2",Normal
"1533457800.0","6.0","6.2",Normal
"1533458100.0","6.0","6.2",Normal
"1533458400.0","6.0","6.2",Normal
"1533458700.0","7.0","6.2",Normal
"1533459000.0","7.0","6.4",Normal
"1533459300.0","7.0","6.6",Normal
"1533459600.0","7.0","6.8",AnomalyType1
"1533459900.0","7.0","7.0",AnomalyType1
"1533460200.0","7.0","7.0",AnomalyType1
"1533460500.0","7.0","7.0",AnomalyType1
"1533460800.0","7.0","7.0",AnomalyType1
"1533461100.0","7.0","7.0",AnomalyType1
"1533461400.0","8.0","7.2",Normal
"1533461700.0","8.0","7.4",Normal
"1533462000.0","7.0","7.4",Normal
"1533462300.0","7.0","7.4",Normal
"1533462600.0","7.0","7.4",Normal
"1533462900.0","7.0","7.2",Normal
"1533463200.0","7.0","7.0",AnomalyType1
"1533463500.0","7.0","7.0",AnomalyType1
"1533463800.0","7.0","7.0",AnomalyType1
"1533464100.0","7.0","7.0",AnomalyType1
"1533464400.0","7.0","7.0",AnomalyType1
"1533464700.0","7.0","7.0",AnomalyType1
"1533465000.0","7.0","7.0",AnomalyType1
"1533465300.0","7.0","7.0",AnomalyType1
"1533465600.0","7.0","7.0",AnomalyType1
"1533465900.0","7.0","7.0",AnomalyType1
"1533466200.0","12.6","8.12",Normal
"1533466500.0","13.6","9.44",Normal
"1533466800.0","1.6","8.36",Normal
"1533467100.0","9.1","8.78",Normal
"1533467400.0","1.4","7.66",Normal
"1533467700.0","12.6","7.66",Normal
"1533468000.0","1.4","5.22",Normal
"1533468300.0","2.8","5.46",Normal
"1533468600.0","2.1","4.06",Normal
"1533468900.0","7.0","5.18",Normal
"1533469200.0","7.0","4.06",Normal
"1533469500.0","7.0","5.18",Normal
"1533469800.0","7.0","6.02",Normal
"1533470100.0","7.0","7.0",Normal
"1533470400.0","7.0","7.0",AnomalyType1
"1533470700.0","8.0","7.2",Normal
"1533471000.0","9.0","7.6",Normal
"1533471300.0","10.0","8.2",Normal
"1533471600.0","11.0","9.0",Normal
"1533471900.0","11.0","9.8",Normal
"1533472200.0","12.0","10.6",Normal
"1533472500.0","13.0","11.4",Normal
"1533472800.0","13.0","12.0",Normal
"1533473100.0","13.0","12.4",Normal
"1533473400.0","14.0","13.0",Normal
"1533473700.0","15.0","13.6",Normal
"1533474000.0","15.0","14.0",Normal
"1533474300.0","16.0","14.6",Normal
"1533474600.0","16.0","15.2",Normal
"1533474900.0","17.0","15.8",Normal
"1533475200.0","19.0","16.6",Normal
"1533475500.0","19.0","17.4",Normal
"1533475800.0","20.0","18.2",Normal
"1533476100.0","20.0","19.0",Normal
"1533476400.0","22.0","20.0",Normal
"1533476700.0","35.2","23.24",Normal
"1533477000.0","30.8","25.6",Normal
"1533477300.0","17.6","25.12",Normal
"1533477600.0","22.0","25.52",Normal
"1533477900.0","35.2","28.16",Normal
"1533478200.0","28.8","26.88",Normal
"1533478500.0","45.0","29.72",Normal
"1533478800.0","20.0","30.2",Normal
"1533479100.0","7.5","27.3",Normal
"1533479400.0","39.0","28.06",Normal
"1533479700.0","40.5","30.4",Normal
"1533480000.0","20.8","25.56",Normal
"1533480300.0","46.8","30.92",Normal
"1533480600.0","20.8","33.58",Normal
"1533480900.0","27.0","31.18",Normal
"1533481200.0","27.0","28.48",Normal
"1533481500.0","32.4","30.8",Normal
"1533481800.0","37.8","29.0",Normal
"1533482100.0","18.9","28.62",Normal
"1533482400.0","26.0","28.42",Normal
"1533482700.0","32.5","29.52",Normal
"1533483000.0","13.0","25.64",Normal
"1533483300.0","27.0","23.48",Normal
"1533483600.0","11.2","21.94",Normal
"1533483900.0","27.0","22.14",Normal
"1533484200.0","26.0","20.84",Normal
"1533484500.0","24.0","23.04",Normal
"1533484800.0","26.0","22.84",Normal
"1533485100.0","28.0","26.2",Normal
"1533485400.0","30.0","26.8",Normal
"1533485700.0","30.0","27.6",Normal
"1533486000.0","31.0","29.0",Normal
"1533486300.0","34.0","30.6",Normal
"1533486600.0","37.0","32.4",Normal
"1533486900.0","38.0","34.0",Normal
"1533487200.0","37.0","35.4",Normal
"1533487500.0","39.0","37.0",Normal
"1533487800.0","41.0","38.4",Normal
"1533488100.0","42.0","39.4",Normal
"1533488400.0","44.0","40.6",Normal
"1533488700.0","47.0","42.6",Normal
"1533489000.0","48.0","44.4",Normal
"1533489300.0","48.0","45.8",Normal
"1533489600.0","47.0","46.8",Normal
"1533489900.0","48.0","47.6",Normal
"1533490200.0","49.0","48.0",Normal
"1533490500.0","51.0","48.6",Normal
"1533490800.0","52.0","49.4",Normal
"1533491100.0","49.0","49.8",Normal
"1533491400.0","47.0","49.6",Normal
"1533491700.0","44.0","48.6",Normal
"1533492000.0","43.0","47.0",Normal
"1533492300.0","45.0","45.6",Normal
"1533492600.0","44.0","44.6",Normal
"1533492900.0","42.0","43.6",Normal
"1533493200.0","42.0","43.2",Normal
"1533493500.0","43.0","43.2",Normal
"1533493800.0","42.0","42.6",Normal
"1533494100.0","40.0","41.8",Normal
"1533494400.0","39.0","41.2",Normal
"1533494700.0","40.0","40.8",Normal
"1533495000.0","37.0","39.6",Normal
"1533495300.0","36.0","38.4",Normal
"1533495600.0","38.0","38.0",Normal
"1533495900.0","42.0","38.6",Normal
"1533496200.0","41.0","38.8",Normal
"1533496500.0","41.0","39.6",Normal
"1533496800.0","43.0","41.0",Normal
"1533497100.0","42.0","41.8",Normal
"1533497400.0","44.0","42.2",Normal
"1533497700.0","46.0","43.2",Normal
"1533498000.0","50.0","45.0",Normal
"1533498300.0","49.0","46.2",Normal
"1533498600.0","48.0","47.4",Normal
"1533498900.0","50.0","48.6",Normal
"1533499200.0","51.0","49.6",Normal
"1533499500.0","53.0","50.2",Normal
"1533499800.0","52.0","50.8",Normal
"1533500100.0","55.0","52.2",Normal
"1533500400.0","54.0","53.0",Normal
"1533500700.0","56.0","54.0",Normal
"1533501000.0","56.0","54.6",Normal
"1533501300.0","57.0","55.6",Normal
"1533501600.0","57.0","56.0",Normal
"1533501900.0","57.0","56.6",Normal
"1533502200.0","57.0","56.8",Normal
"1533502500.0","57.0","57.0",Normal
"1533502800.0","58.0","57.2",Normal
"1533503100.0","56.0","57.0",Normal
"1533503400.0","57.0","57.0",Normal
"1533503700.0","56.0","56.8",Normal
"1533504000.0","59.0","57.2",Normal
"1533504300.0","58.0","57.2",Normal
"1533504600.0","61.0","58.2",Normal
"1533504900.0","60.0","58.8",Normal
"1533505200.0","63.0","60.2",Normal
"1533505500.0","61.0","60.6",Normal
"1533505800.0","58.0","60.6",Normal
"1533506100.0","59.0","60.2",Normal
"1533506400.0","59.0","60.0",Normal
"1533506700.0","58.0","59.0",Normal
"1533507000.0","57.0","58.2",Normal
"1533507300.0","57.0","58.0",Normal
"1533507600.0","41.3","54.46",Normal
"1533507900.0","64.0","55.46",Normal
"1533508200.0","64.0","56.66",Normal
"1533508500.0","18.6","48.98",Normal
"1533508800.0","12.8","40.14",Normal
"1533509100.0","25.2","36.92",Normal
"1533509400.0","76.8","39.48",Normal
"1533509700.0","66.0","39.88",Normal
"1533510000.0","40.2","44.2",Normal
"1533510300.0","62.0","54.04",Normal
"1533510600.0","60.0","61.0",Normal
"1533510900.0","60.0","57.64",Normal
"1533511200.0","59.0","56.24",Normal
"1533511500.0","54.0","59.0",Normal
"1533511800.0","57.0","58.0",Normal
"1533512100.0","58.0","57.6",Normal
"1533512400.0","56.0","56.8",Normal
"1533512700.0","56.0","56.2",Normal
"1533513000.0","58.0","57.0",Normal
"1533513300.0","60.0","57.6",Normal
"1533513600.0","59.0","57.8",Normal
"1533513900.0","59.0","58.4",Normal
"1533514200.0","54.0","58.0",Normal
"1533514500.0","51.0","56.6",Normal
"1533514800.0","51.0","54.8",Normal
"1533515100.0","50.0","53.0",Normal
"1533515400.0","50.0","51.2",Normal
"1533515700.0","49.0","50.2",Normal
"1533516000.0","49.0","49.8",Normal
"1533516300.0","52.0","50.0",Normal
"1533516600.0","54.0","50.8",Normal
"1533516900.0","52.0","51.2",Normal
"1533517200.0","51.0","51.6",Normal
"1533517500.0","51.0","52.0",Normal
"1533517800.0","49.0","51.4",Normal
"1533518100.0","47.0","50.0",Normal
"1533518400.0","45.0","48.6",Normal
"1533518700.0","45.0","47.4",Normal
"1533519000.0","44.0","46.0",Normal
"1533519300.0","42.0","44.6",Normal
"1533519600.0","41.0","43.4",Normal
"1533519900.0","39.0","42.2",Normal
"1533520200.0","38.0","40.8",Normal
"1533520500.0","38.0","39.6",Normal
"1533520800.0","38.0","38.8",Normal
"1533521100.0","36.0","37.8",Normal
"1533521400.0","36.0","37.2",Normal
"1533521700.0","35.0","36.6",Normal
"1533522000.0","35.0","36.0",Normal
"1533522300.0","29.0","34.2",Normal
"1533522600.0","26.0","32.2",Normal
"1533522900.0","25.0","30.0",Normal
"1533523200.0","27.0","28.4",Normal
"1533523500.0","26.0","26.6",Normal
"1533523800.0","25.0","25.8",Normal
"1533524100.0","26.0","25.8",Normal
"1533524400.0","26.0","26.0",Normal
"1533524700.0","27.0","26.0",Normal
"1533525000.0","25.0","25.8",Normal
"1533525300.0","24.0","25.6",Normal
"1533525600.0","25.0","25.4",Normal
"1533525900.0","23.0","24.8",Normal
"1533526200.0","23.0","24.0",Normal
"1533526500.0","21.0","23.2",Normal
"1533526800.0","21.0","22.6",Normal
"1533527100.0","20.0","21.6",Normal
"1533527400.0","24.0","21.8",Normal
"1533527700.0","20.0","21.2",Normal
"1533528000.0","7.6","18.52",Normal
"1533528300.0","7.2","15.76",Normal
"1533528600.0","19.0","15.56",Normal
"1533528900.0","9.0","12.56",Normal
"1533529200.0","5.1","9.58",Normal
"1533529500.0","18.0","11.66",Normal
"1533529800.0","15.0","13.22",Normal
"1533530100.0","15.0","12.42",Normal
"1533530400.0","14.0","13.42",Normal
"1533530700.0","14.0","15.2",Normal
"1533531000.0","14.0","14.4",Normal
"1533531300.0","15.0","14.4",Normal
"1533531600.0","22.4","15.88",Normal
"1533531900.0","13.0","15.68",Normal
"1533532200.0","11.7","15.22",Normal
"1533532500.0","21.6","16.74",Normal
"1533532800.0","20.4","17.82",Normal
"1533533100.0","12.0","15.74",Normal
"1533533400.0","11.0","15.34",Normal
"1533533700.0","2.2","13.44",Normal
"1533534000.0","12.0","11.52",Normal
"1533534300.0","10.0","9.44",Normal
"1533534600.0","10.0","9.04",Normal
"1533534900.0","9.0","8.64",Normal
"1533535200.0","9.0","10.0",Normal
"1533535500.0","9.0","9.4",Normal
"1533535800.0","9.0","9.2",Normal
"1533536100.0","8.0","8.8",Normal
"1533536400.0","8.0","8.6",Normal
"1533536700.0","8.0","8.4",Normal
"1533537000.0","7.0","8.0",Normal
"1533537300.0","6.0","7.4",Normal
"1533537600.0","6.0","7.0",Normal
"1533537900.0","6.0","6.6",Normal
"1533538200.0","6.0","6.2",Normal
"1533538500.0","6.0","6.0",Normal
"1533538800.0","6.0","6.0",Normal
"1533539100.0","8.0","6.4",Normal
"1533539400.0","8.0","6.8",Normal
"1533539700.0","8.0","7.2",Normal
"1533540000.0","5.6","7.12",Normal
"1533540300.0","12.8","8.48",Normal
"1533540600.0","1.6","7.2",Normal
"1533540900.0","8.8","7.36",Normal
"1533541200.0","7.2","7.2",Normal
"1533541500.0","13.5","8.78",Normal
"1533541800.0","4.5","7.12",Normal
"1533542100.0","9.0","8.6",Normal
"1533542400.0","9.0","8.64",Normal
"1533542700.0","9.0","9.0",Normal
"1533543000.0","10.0","8.3",Normal
"1533543300.0","10.0","9.4",Normal
"1533543600.0","10.0","9.6",Normal
"1533543900.0","11.0","10.0",Normal
"1533544200.0","11.0","10.4",Normal
"1533544500.0","11.0","10.6",Normal
"1533544800.0","11.0","10.8",Normal
"1533545100.0","12.0","11.2",Normal
"1533545400.0","12.0","11.4",Normal
"1533545700.0","12.0","11.6",Normal
"1533546000.0","12.0","11.8",Normal
"1533546300.0","9.6","11.52",Normal
"1533546600.0","12.0","11.52",Normal
"1533546900.0","20.4","13.2",Normal
"1533547200.0","2.4","11.28",Normal
"1533547500.0","20.8","13.04",Normal
"1533547800.0","19.5","15.02",Normal
"1533548100.0","6.0","13.82",Normal
"1533548400.0","15.6","12.86",Normal
"1533548700.0","2.6","12.9",Normal
"1533549000.0","13.0","11.34",Normal
"1533549300.0","10.4","9.52",Normal
"1533549600.0","13.0","10.92",Normal
"1533549900.0","23.4","12.48",Normal
"1533550200.0","19.5","15.86",Normal
"1533550500.0","6.0","14.46",Normal
"1533550800.0","20.8","16.54",Normal
"1533551100.0","12.0","16.34",Normal
"1533551400.0","12.0","14.06",Normal
"1533551700.0","11.0","12.36",Normal
"1533552000.0","11.0","13.36",Normal
"1533552300.0","11.0","11.4",Normal
"1533552600.0","11.0","11.2",Normal
"1533552900.0","12.0","11.2",Normal
"1533553200.0","12.0","11.4",Normal
"1533553500.0","20.4","13.28",Normal
"1533553800.0","16.5","14.38",Normal
"1533554100.0","9.9","14.16",Normal
"1533554400.0","13.2","14.4",Normal
"1533554700.0","10.8","14.16",Normal
"1533555000.0","7.7","11.62",Normal
"1533555300.0","9.9","10.3",Normal
"1533555600.0","4.4","9.2",Normal
"1533555900.0","18.0","10.16",Normal
"1533556200.0","11.0","10.2",Normal
"1533556500.0","11.0","10.86",Normal
"1533556800.0","12.0","11.28",Normal
"1533557100.0","14.0","13.2",Normal
"1533557400.0","14.0","12.4",Normal
"1533557700.0","14.0","13.0",Normal
"1533558000.0","16.0","14.0",Normal
"1533558300.0","17.0","15.0",Normal
"1533558600.0","18.0","15.8",Normal
"1533558900.0","20.0","17.0",Normal
"1533559200.0","9.5","16.1",Normal
"1533559500.0","29.4","18.78",Normal
"1533559800.0","20.0","19.38",Normal
"1533560100.0","21.0","19.98",Normal
"1533560400.0","36.8","23.34",Normal
"1533560700.0","24.0","26.24",Normal
"1533561000.0","25.0","25.36",Normal
"1533561300.0","20.0","25.36",Normal
"1533561600.0","26.0","26.36",Normal
"1533561900.0","14.0","21.8",Normal
"1533562200.0","54.0","27.8",Normal
"1533562500.0","33.0","29.4",Normal
"1533562800.0","35.2","32.44",Normal
"1533563100.0","32.0","33.64",Normal
"1533563400.0","31.0","37.04",Normal
"1533563700.0","32.0","32.64",Normal
"1533564000.0","36.0","33.24",Normal
"1533564300.0","35.0","33.2",Normal
"1533564600.0","36.0","34.0",Normal
"1533564900.0","35.0","34.8",Normal
"1533565200.0","36.0","35.6",Normal
"1533565500.0","41.0","36.6",Normal
"1533565800.0","41.0","37.8",Normal
"1533566100.0","47.0","40.0",Normal
"1533566400.0","47.0","42.4",Normal
"1533566700.0","48.0","44.8",Normal
"1533567000.0","48.0","46.2",Normal
"1533567300.0","48.0","47.6",Normal
"1533567600.0","50.0","48.2",Normal
"1533567900.0","54.0","49.6",Normal
"1533568200.0","53.0","50.6",Normal
"1533568500.0","52.0","51.4",Normal
"1533568800.0","56.0","53.0",Normal
"1533569100.0","56.0","54.2",Normal
"1533569400.0","58.0","55.0",Normal
"1533569700.0","60.0","56.4",Normal
"1533570000.0","63.0","58.6",Normal
"1533570300.0","61.0","59.6",Normal
"1533570600.0","61.0","60.6",Normal
"1533570900.0","60.0","61.0",Normal
"1533571200.0","60.0","61.0",Normal
"1533571500.0","64.0","61.2",Normal
"1533571800.0","63.0","61.6",Normal
"1533572100.0","65.0","62.4",Normal
"1533572400.0","63.0","63.0",Normal
"1533572700.0","66.0","64.2",Normal
"1533573000.0","65.0","64.4",Normal
"1533573300.0","74.0","66.6",Normal
"1533573600.0","73.0","68.2",Normal
