"_time",logons
"2018-08-04T08:25:00.000-0700","14.7"
"2018-08-04T08:30:00.000-0700",23
"2018-08-04T08:35:00.000-0700",23
"2018-08-04T08:40:00.000-0700",23
"2018-08-04T08:45:00.000-0700",24
"2018-08-04T08:50:00.000-0700",24
"2018-08-04T08:55:00.000-0700",23
"2018-08-04T09:00:00.000-0700",26
"2018-08-04T09:05:00.000-0700",26
"2018-08-04T09:10:00.000-0700",28
"2018-08-04T09:15:00.000-0700",30
"2018-08-04T09:20:00.000-0700",34
"2018-08-04T09:25:00.000-0700",35
"2018-08-04T09:30:00.000-0700",34
"2018-08-04T09:35:00.000-0700",37
"2018-08-04T09:40:00.000-0700",39
"2018-08-04T09:45:00.000-0700",40
"2018-08-04T09:50:00.000-0700",41
"2018-08-04T09:55:00.000-0700",44
"2018-08-04T10:00:00.000-0700",45
"2018-08-04T10:05:00.000-0700",48
"2018-08-04T10:10:00.000-0700",48
"2018-08-04T10:15:00.000-0700",49
"2018-08-04T10:20:00.000-0700",50
"2018-08-04T10:25:00.000-0700",52
"2018-08-04T10:30:00.000-0700",52
"2018-08-04T10:35:00.000-0700",52
"2018-08-04T10:40:00.000-0700",53
"2018-08-04T10:45:00.000-0700",51
"2018-08-04T10:50:00.000-0700",54
"2018-08-04T10:55:00.000-0700",53
"2018-08-04T11:00:00.000-0700",50
"2018-08-04T11:05:00.000-0700",49
"2018-08-04T11:10:00.000-0700",52
"2018-08-04T11:15:00.000-0700",53
"2018-08-04T11:20:00.000-0700",52
"2018-08-04T11:25:00.000-0700",52
"2018-08-04T11:30:00.000-0700",51
"2018-08-04T11:35:00.000-0700",53
"2018-08-04T11:40:00.000-0700",57
"2018-08-04T11:45:00.000-0700",57
"2018-08-04T11:50:00.000-0700",57
"2018-08-04T11:55:00.000-0700",57
"2018-08-04T12:00:00.000-0700",58
"2018-08-04T12:05:00.000-0700",58
"2018-08-04T12:10:00.000-0700",61
"2018-08-04T12:15:00.000-0700",61
"2018-08-04T12:20:00.000-0700",60
"2018-08-04T12:25:00.000-0700",62
"2018-08-04T12:30:00.000-0700",63
"2018-08-04T12:35:00.000-0700","85.4"
"2018-08-04T12:40:00.000-0700","43.4"
"2018-08-04T12:45:00.000-0700","113.9"
"2018-08-04T12:50:00.000-0700",104
"2018-08-04T12:55:00.000-0700","55.8"
"2018-08-04T13:00:00.000-0700",61
"2018-08-04T13:05:00.000-0700","85.4"
"2018-08-04T13:10:00.000-0700",61
"2018-08-04T13:15:00.000-0700","55.8"
"2018-08-04T13:20:00.000-0700",58
"2018-08-04T13:25:00.000-0700",53
"2018-08-04T13:30:00.000-0700",54
"2018-08-04T13:35:00.000-0700",50
"2018-08-04T13:40:00.000-0700",50
"2018-08-04T13:45:00.000-0700",49
"2018-08-04T13:50:00.000-0700",53
"2018-08-04T13:55:00.000-0700",51
"2018-08-04T14:00:00.000-0700",52
"2018-08-04T14:05:00.000-0700",52
"2018-08-04T14:10:00.000-0700",53
"2018-08-04T14:15:00.000-0700",53
"2018-08-04T14:20:00.000-0700",53
"2018-08-04T14:25:00.000-0700",52
"2018-08-04T14:30:00.000-0700",53
"2018-08-04T14:35:00.000-0700",54
"2018-08-04T14:40:00.000-0700",54
"2018-08-04T14:45:00.000-0700",55
"2018-08-04T14:50:00.000-0700",56
"2018-08-04T14:55:00.000-0700",54
"2018-08-04T15:00:00.000-0700",56
"2018-08-04T15:05:00.000-0700",58
"2018-08-04T15:10:00.000-0700",56
"2018-08-04T15:15:00.000-0700",56
"2018-08-04T15:20:00.000-0700",58
"2018-08-04T15:25:00.000-0700",57
"2018-08-04T15:30:00.000-0700",57
"2018-08-04T15:35:00.000-0700",53
"2018-08-04T15:40:00.000-0700",52
"2018-08-04T15:45:00.000-0700",52
"2018-08-04T15:50:00.000-0700",53
"2018-08-04T15:55:00.000-0700",52
"2018-08-04T16:00:00.000-0700",52
"2018-08-04T16:05:00.000-0700","25.5"
"2018-08-04T16:10:00.000-0700","15.899999999999999"
"2018-08-04T16:15:00.000-0700","86.7"
"2018-08-04T16:20:00.000-0700","78.4"
"2018-08-04T16:25:00.000-0700",80
"2018-08-04T16:30:00.000-0700",15
"2018-08-04T16:35:00.000-0700",30
"2018-08-04T16:40:00.000-0700","78.4"
"2018-08-04T16:45:00.000-0700",50
"2018-08-04T16:50:00.000-0700",52
"2018-08-04T16:55:00.000-0700",53
"2018-08-04T17:00:00.000-0700",51
"2018-08-04T17:05:00.000-0700",50
"2018-08-04T17:10:00.000-0700",51
"2018-08-04T17:15:00.000-0700","9.799999999999997"
"2018-08-04T17:20:00.000-0700","39.2"
"2018-08-04T17:25:00.000-0700",50
"2018-08-04T17:30:00.000-0700",60
"2018-08-04T17:35:00.000-0700",51
"2018-08-04T17:40:00.000-0700","62.4"
"2018-08-04T17:45:00.000-0700",25
"2018-08-04T17:50:00.000-0700",52
"2018-08-04T17:55:00.000-0700",50
"2018-08-04T18:00:00.000-0700",47
"2018-08-04T18:05:00.000-0700",47
"2018-08-04T18:10:00.000-0700",47
"2018-08-04T18:15:00.000-0700",47
"2018-08-04T18:20:00.000-0700",45
"2018-08-04T18:25:00.000-0700",45
"2018-08-04T18:30:00.000-0700",43
"2018-08-04T18:35:00.000-0700",39
"2018-08-04T18:40:00.000-0700",39
"2018-08-04T18:45:00.000-0700",39
"2018-08-04T18:50:00.000-0700",38
"2018-08-04T18:55:00.000-0700","29.6"
"2018-08-04T19:00:00.000-0700","18.5"
"2018-08-04T19:05:00.000-0700","43.2"
"2018-08-04T19:10:00.000-0700","36.3"
"2018-08-04T19:15:00.000-0700","6.399999999999999"
"2018-08-04T19:20:00.000-0700","11.600000000000001"
"2018-08-04T19:25:00.000-0700","33.6"
"2018-08-04T19:30:00.000-0700","16.8"
"2018-08-04T19:35:00.000-0700",26
"2018-08-04T19:40:00.000-0700",26
"2018-08-04T19:45:00.000-0700",27
"2018-08-04T19:50:00.000-0700","35.1"
"2018-08-04T19:55:00.000-0700",26
"2018-08-04T20:00:00.000-0700","12.5"
"2018-08-04T20:05:00.000-0700","14.4"
"2018-08-04T20:10:00.000-0700","41.4"
"2018-08-04T20:15:00.000-0700",11
"2018-08-04T20:20:00.000-0700",23
"2018-08-04T20:25:00.000-0700",23
"2018-08-04T20:30:00.000-0700",23
"2018-08-04T20:35:00.000-0700",22
"2018-08-04T20:40:00.000-0700",23
"2018-08-04T20:45:00.000-0700",23
"2018-08-04T20:50:00.000-0700",23
"2018-08-04T20:55:00.000-0700",22
"2018-08-04T21:00:00.000-0700",21
"2018-08-04T21:05:00.000-0700",21
"2018-08-04T21:10:00.000-0700",19
"2018-08-04T21:15:00.000-0700",19
"2018-08-04T21:20:00.000-0700","32.4"
"2018-08-04T21:25:00.000-0700","12.6"
"2018-08-04T21:30:00.000-0700","28.8"
"2018-08-04T21:35:00.000-0700","17.6"
"2018-08-04T21:40:00.000-0700","9.6"
"2018-08-04T21:45:00.000-0700","19.2"
"2018-08-04T21:50:00.000-0700",16
"2018-08-04T21:55:00.000-0700",27
"2018-08-04T22:00:00.000-0700","13.5"
"2018-08-04T22:05:00.000-0700",14
"2018-08-04T22:10:00.000-0700",14
"2018-08-04T22:15:00.000-0700",13
"2018-08-04T22:20:00.000-0700",13
"2018-08-04T22:25:00.000-0700",12
"2018-08-04T22:30:00.000-0700",12
"2018-08-04T22:35:00.000-0700",11
"2018-08-04T22:40:00.000-0700",11
"2018-08-04T22:45:00.000-0700",11
"2018-08-04T22:50:00.000-0700",10
"2018-08-04T22:55:00.000-0700",10
"2018-08-04T23:00:00.000-0700",9
"2018-08-04T23:05:00.000-0700",9
"2018-08-04T23:10:00.000-0700",8
"2018-08-04T23:15:00.000-0700",8
"2018-08-04T23:20:00.000-0700",6
"2018-08-04T23:25:00.000-0700",6
"2018-08-04T23:30:00.000-0700",1
"2018-08-04T23:35:00.000-0700","6.5"
"2018-08-04T23:40:00.000-0700",5
"2018-08-04T23:45:00.000-0700","1.5"
"2018-08-04T23:50:00.000-0700",2
"2018-08-04T23:55:00.000-0700","1.5"
"2018-08-05T00:00:00.000-0700",5
"2018-08-05T00:05:00.000-0700",3
"2018-08-05T00:10:00.000-0700","1.5"
"2018-08-05T00:15:00.000-0700",5
"2018-08-05T00:20:00.000-0700",5
"2018-08-05T00:25:00.000-0700",6
"2018-08-05T00:30:00.000-0700",5
"2018-08-05T00:35:00.000-0700",5
"2018-08-05T00:40:00.000-0700",5
"2018-08-05T00:45:00.000-0700",5
"2018-08-05T00:50:00.000-0700",5
"2018-08-05T00:55:00.000-0700",6
"2018-08-05T01:00:00.000-0700",6
"2018-08-05T01:05:00.000-0700",6
"2018-08-05T01:10:00.000-0700",6
"2018-08-05T01:15:00.000-0700",6
"2018-08-05T01:20:00.000-0700",7
"2018-08-05T01:25:00.000-0700",6
"2018-08-05T01:30:00.000-0700",6
"2018-08-05T01:35:00.000-0700",6
"2018-08-05T01:40:00.000-0700",6
"2018-08-05T01:45:00.000-0700",7
"2018-08-05T01:50:00.000-0700",7
"2018-08-05T01:55:00.000-0700",7
"2018-08-05T02:00:00.000-0700",7
"2018-08-05T02:05:00.000-0700",7
"2018-08-05T02:10:00.000-0700",7
"2018-08-05T02:15:00.000-0700",7
"2018-08-05T02:20:00.000-0700",7
"2018-08-05T02:25:00.000-0700",7
"2018-08-05T02:30:00.000-0700",8
"2018-08-05T02:35:00.000-0700",8
"2018-08-05T02:40:00.000-0700",7
"2018-08-05T02:45:00.000-0700",7
"2018-08-05T02:50:00.000-0700",7
"2018-08-05T02:55:00.000-0700",7
"2018-08-05T03:00:00.000-0700",7
"2018-08-05T03:05:00.000-0700",7
"2018-08-05T03:10:00.000-0700",7
"2018-08-05T03:15:00.000-0700",7
"2018-08-05T03:20:00.000-0700",7
"2018-08-05T03:25:00.000-0700",7
"2018-08-05T03:30:00.000-0700",7
"2018-08-05T03:35:00.000-0700",7
"2018-08-05T03:40:00.000-0700",7
"2018-08-05T03:45:00.000-0700",7
"2018-08-05T03:50:00.000-0700","12.6"
"2018-08-05T03:55:00.000-0700","13.6"
"2018-08-05T04:00:00.000-0700","1.5999999999999996"
"2018-08-05T04:05:00.000-0700","9.1"
"2018-08-05T04:10:00.000-0700","1.4000000000000004"
"2018-08-05T04:15:00.000-0700","12.6"
"2018-08-05T04:20:00.000-0700","1.4000000000000004"
"2018-08-05T04:25:00.000-0700","2.8"
"2018-08-05T04:30:00.000-0700","2.0999999999999996"
"2018-08-05T04:35:00.000-0700",7
"2018-08-05T04:40:00.000-0700",7
"2018-08-05T04:45:00.000-0700",7
"2018-08-05T04:50:00.000-0700",7
"2018-08-05T04:55:00.000-0700",7
"2018-08-05T05:00:00.000-0700",7
"2018-08-05T05:05:00.000-0700",8
"2018-08-05T05:10:00.000-0700",9
"2018-08-05T05:15:00.000-0700",10
"2018-08-05T05:20:00.000-0700",11
"2018-08-05T05:25:00.000-0700",11
"2018-08-05T05:30:00.000-0700",12
"2018-08-05T05:35:00.000-0700",13
"2018-08-05T05:40:00.000-0700",13
"2018-08-05T05:45:00.000-0700",13
"2018-08-05T05:50:00.000-0700",14
"2018-08-05T05:55:00.000-0700",15
"2018-08-05T06:00:00.000-0700",15
"2018-08-05T06:05:00.000-0700",16
"2018-08-05T06:10:00.000-0700",16
"2018-08-05T06:15:00.000-0700",17
"2018-08-05T06:20:00.000-0700",19
"2018-08-05T06:25:00.000-0700",19
"2018-08-05T06:30:00.000-0700",20
"2018-08-05T06:35:00.000-0700",20
"2018-08-05T06:40:00.000-0700",22
"2018-08-05T06:45:00.000-0700","35.2"
"2018-08-05T06:50:00.000-0700","30.8"
"2018-08-05T06:55:00.000-0700","17.6"
"2018-08-05T07:00:00.000-0700",22
"2018-08-05T07:05:00.000-0700","35.2"
"2018-08-05T07:10:00.000-0700","28.8"
"2018-08-05T07:15:00.000-0700",45
"2018-08-05T07:20:00.000-0700",20
"2018-08-05T07:25:00.000-0700","7.5"
"2018-08-05T07:30:00.000-0700",39
"2018-08-05T07:35:00.000-0700","40.5"
"2018-08-05T07:40:00.000-0700","20.8"
"2018-08-05T07:45:00.000-0700","46.8"
"2018-08-05T07:50:00.000-0700","20.8"
"2018-08-05T07:55:00.000-0700",27
"2018-08-05T08:00:00.000-0700",27
"2018-08-05T08:05:00.000-0700","32.4"
"2018-08-05T08:10:00.000-0700","37.8"
"2018-08-05T08:15:00.000-0700","18.9"
"2018-08-05T08:20:00.000-0700",26
"2018-08-05T08:25:00.000-0700","32.5"
"2018-08-05T08:30:00.000-0700",13
"2018-08-05T08:35:00.000-0700",27
"2018-08-05T08:40:00.000-0700","11.2"
"2018-08-05T08:45:00.000-0700",27
"2018-08-05T08:50:00.000-0700",26
"2018-08-05T08:55:00.000-0700",24
"2018-08-05T09:00:00.000-0700",26
"2018-08-05T09:05:00.000-0700",28
"2018-08-05T09:10:00.000-0700",30
"2018-08-05T09:15:00.000-0700",30
"2018-08-05T09:20:00.000-0700",31
"2018-08-05T09:25:00.000-0700",34
"2018-08-05T09:30:00.000-0700",37
"2018-08-05T09:35:00.000-0700",38
"2018-08-05T09:40:00.000-0700",37
"2018-08-05T09:45:00.000-0700",39
"2018-08-05T09:50:00.000-0700",41
"2018-08-05T09:55:00.000-0700",42
"2018-08-05T10:00:00.000-0700",44
"2018-08-05T10:05:00.000-0700",47
"2018-08-05T10:10:00.000-0700",48
"2018-08-05T10:15:00.000-0700",48
"2018-08-05T10:20:00.000-0700",47
"2018-08-05T10:25:00.000-0700",48
"2018-08-05T10:30:00.000-0700",49
"2018-08-05T10:35:00.000-0700",51
"2018-08-05T10:40:00.000-0700",52
"2018-08-05T10:45:00.000-0700",49
"2018-08-05T10:50:00.000-0700",47
"2018-08-05T10:55:00.000-0700",44
"2018-08-05T11:00:00.000-0700",43
"2018-08-05T11:05:00.000-0700",45
"2018-08-05T11:10:00.000-0700",44
"2018-08-05T11:15:00.000-0700",42
"2018-08-05T11:20:00.000-0700",42
"2018-08-05T11:25:00.000-0700",43
"2018-08-05T11:30:00.000-0700",42
"2018-08-05T11:35:00.000-0700",40
"2018-08-05T11:40:00.000-0700",39
"2018-08-05T11:45:00.000-0700",40
"2018-08-05T11:50:00.000-0700",37
"2018-08-05T11:55:00.000-0700",36
"2018-08-05T12:00:00.000-0700",38
"2018-08-05T12:05:00.000-0700",42
"2018-08-05T12:10:00.000-0700",41
"2018-08-05T12:15:00.000-0700",41
"2018-08-05T12:20:00.000-0700",43
"2018-08-05T12:25:00.000-0700",42
"2018-08-05T12:30:00.000-0700",44
"2018-08-05T12:35:00.000-0700",46
"2018-08-05T12:40:00.000-0700",50
"2018-08-05T12:45:00.000-0700",49
"2018-08-05T12:50:00.000-0700",48
"2018-08-05T12:55:00.000-0700",50
"2018-08-05T13:00:00.000-0700",51
"2018-08-05T13:05:00.000-0700",53
"2018-08-05T13:10:00.000-0700",52
"2018-08-05T13:15:00.000-0700",55
"2018-08-05T13:20:00.000-0700",54
"2018-08-05T13:25:00.000-0700",56
"2018-08-05T13:30:00.000-0700",56
"2018-08-05T13:35:00.000-0700",57
"2018-08-05T13:40:00.000-0700",57
"2018-08-05T13:45:00.000-0700",57
"2018-08-05T13:50:00.000-0700",57
"2018-08-05T13:55:00.000-0700",57
"2018-08-05T14:00:00.000-0700",58
"2018-08-05T14:05:00.000-0700",56
"2018-08-05T14:10:00.000-0700",57
"2018-08-05T14:15:00.000-0700",56
"2018-08-05T14:20:00.000-0700",59
"2018-08-05T14:25:00.000-0700",58
"2018-08-05T14:30:00.000-0700",61
"2018-08-05T14:35:00.000-0700",60
"2018-08-05T14:40:00.000-0700",63
"2018-08-05T14:45:00.000-0700",61
"2018-08-05T14:50:00.000-0700",58
"2018-08-05T14:55:00.000-0700",59
"2018-08-05T15:00:00.000-0700",59
"2018-08-05T15:05:00.000-0700",58
"2018-08-05T15:10:00.000-0700",57
"2018-08-05T15:15:00.000-0700",57
"2018-08-05T15:20:00.000-0700","41.3"
"2018-08-05T15:25:00.000-0700",64
"2018-08-05T15:30:00.000-0700",64
"2018-08-05T15:35:00.000-0700","18.6"
"2018-08-05T15:40:00.000-0700","12.799999999999997"
"2018-08-05T15:45:00.000-0700","25.200000000000003"
"2018-08-05T15:50:00.000-0700","76.8"
"2018-08-05T15:55:00.000-0700",66
"2018-08-05T16:00:00.000-0700","40.2"
"2018-08-05T16:05:00.000-0700",62
"2018-08-05T16:10:00.000-0700",60
"2018-08-05T16:15:00.000-0700",60
"2018-08-05T16:20:00.000-0700",59
"2018-08-05T16:25:00.000-0700",54
"2018-08-05T16:30:00.000-0700",57
"2018-08-05T16:35:00.000-0700",58
"2018-08-05T16:40:00.000-0700",56
"2018-08-05T16:45:00.000-0700",56
"2018-08-05T16:50:00.000-0700",58
"2018-08-05T16:55:00.000-0700",60
"2018-08-05T17:00:00.000-0700",59
"2018-08-05T17:05:00.000-0700",59
"2018-08-05T17:10:00.000-0700",54
"2018-08-05T17:15:00.000-0700",51
"2018-08-05T17:20:00.000-0700",51
"2018-08-05T17:25:00.000-0700",50
"2018-08-05T17:30:00.000-0700",50
"2018-08-05T17:35:00.000-0700",49
"2018-08-05T17:40:00.000-0700",49
"2018-08-05T17:45:00.000-0700",52
"2018-08-05T17:50:00.000-0700",54
"2018-08-05T17:55:00.000-0700",52
"2018-08-05T18:00:00.000-0700",51
"2018-08-05T18:05:00.000-0700",51
"2018-08-05T18:10:00.000-0700",49
"2018-08-05T18:15:00.000-0700",47
"2018-08-05T18:20:00.000-0700",45
"2018-08-05T18:25:00.000-0700",45
"2018-08-05T18:30:00.000-0700",44
"2018-08-05T18:35:00.000-0700",42
"2018-08-05T18:40:00.000-0700",41
"2018-08-05T18:45:00.000-0700",39
"2018-08-05T18:50:00.000-0700",38
"2018-08-05T18:55:00.000-0700",38
"2018-08-05T19:00:00.000-0700",38
"2018-08-05T19:05:00.000-0700",36
"2018-08-05T19:10:00.000-0700",36
"2018-08-05T19:15:00.000-0700",35
"2018-08-05T19:20:00.000-0700",35
"2018-08-05T19:25:00.000-0700",29
"2018-08-05T19:30:00.000-0700",26
"2018-08-05T19:35:00.000-0700",25
"2018-08-05T19:40:00.000-0700",27
"2018-08-05T19:45:00.000-0700",26
"2018-08-05T19:50:00.000-0700",25
"2018-08-05T19:55:00.000-0700",26
"2018-08-05T20:00:00.000-0700",26
"2018-08-05T20:05:00.000-0700",27
"2018-08-05T20:10:00.000-0700",25
"2018-08-05T20:15:00.000-0700",24
"2018-08-05T20:20:00.000-0700",25
"2018-08-05T20:25:00.000-0700",23
"2018-08-05T20:30:00.000-0700",23
"2018-08-05T20:35:00.000-0700",21
"2018-08-05T20:40:00.000-0700",21
"2018-08-05T20:45:00.000-0700",20
"2018-08-05T20:50:00.000-0700",24
"2018-08-05T20:55:00.000-0700",20
"2018-08-05T21:00:00.000-0700","7.6"
"2018-08-05T21:05:00.000-0700","7.199999999999999"
"2018-08-05T21:10:00.000-0700",19
"2018-08-05T21:15:00.000-0700",9
"2018-08-05T21:20:00.000-0700","5.1"
"2018-08-05T21:25:00.000-0700",18
"2018-08-05T21:30:00.000-0700",15
"2018-08-05T21:35:00.000-0700",15
"2018-08-05T21:40:00.000-0700",14
"2018-08-05T21:45:00.000-0700",14
"2018-08-05T21:50:00.000-0700",14
"2018-08-05T21:55:00.000-0700",15
"2018-08-05T22:00:00.000-0700","22.4"
"2018-08-05T22:05:00.000-0700",13
"2018-08-05T22:10:00.000-0700","11.7"
"2018-08-05T22:15:00.000-0700","21.6"
"2018-08-05T22:20:00.000-0700","20.4"
"2018-08-05T22:25:00.000-0700",12
"2018-08-05T22:30:00.000-0700",11
"2018-08-05T22:35:00.000-0700","2.1999999999999993"
"2018-08-05T22:40:00.000-0700",12
"2018-08-05T22:45:00.000-0700",10
"2018-08-05T22:50:00.000-0700",10
"2018-08-05T22:55:00.000-0700",9
"2018-08-05T23:00:00.000-0700",9
"2018-08-05T23:05:00.000-0700",9
"2018-08-05T23:10:00.000-0700",9
"2018-08-05T23:15:00.000-0700",8
"2018-08-05T23:20:00.000-0700",8
"2018-08-05T23:25:00.000-0700",8
"2018-08-05T23:30:00.000-0700",7
"2018-08-05T23:35:00.000-0700",6
"2018-08-05T23:40:00.000-0700",6
"2018-08-05T23:45:00.000-0700",6
"2018-08-05T23:50:00.000-0700",6
"2018-08-05T23:55:00.000-0700",6
"2018-08-06T00:00:00.000-0700",6
"2018-08-06T00:05:00.000-0700",8
"2018-08-06T00:10:00.000-0700",8
"2018-08-06T00:15:00.000-0700",8
"2018-08-06T00:20:00.000-0700","5.6"
"2018-08-06T00:25:00.000-0700","12.8"
"2018-08-06T00:30:00.000-0700","1.5999999999999996"
"2018-08-06T00:35:00.000-0700","8.8"
"2018-08-06T00:40:00.000-0700","7.2"
"2018-08-06T00:45:00.000-0700","13.5"
"2018-08-06T00:50:00.000-0700","4.5"
"2018-08-06T00:55:00.000-0700",9
"2018-08-06T01:00:00.000-0700",9
"2018-08-06T01:05:00.000-0700",9
"2018-08-06T01:10:00.000-0700",10
"2018-08-06T01:15:00.000-0700",10
"2018-08-06T01:20:00.000-0700",10
"2018-08-06T01:25:00.000-0700",11
"2018-08-06T01:30:00.000-0700",11
"2018-08-06T01:35:00.000-0700",11
"2018-08-06T01:40:00.000-0700",11
"2018-08-06T01:45:00.000-0700",12
"2018-08-06T01:50:00.000-0700",12
"2018-08-06T01:55:00.000-0700",12
"2018-08-06T02:00:00.000-0700",12
"2018-08-06T02:05:00.000-0700","9.6"
"2018-08-06T02:10:00.000-0700",12
"2018-08-06T02:15:00.000-0700","20.4"
"2018-08-06T02:20:00.000-0700","2.4000000000000004"
"2018-08-06T02:25:00.000-0700","20.8"
"2018-08-06T02:30:00.000-0700","19.5"
"2018-08-06T02:35:00.000-0700",6
"2018-08-06T02:40:00.000-0700","15.6"
"2018-08-06T02:45:00.000-0700","2.5999999999999996"
"2018-08-06T02:50:00.000-0700",13
"2018-08-06T02:55:00.000-0700","10.4"
"2018-08-06T03:00:00.000-0700",13
"2018-08-06T03:05:00.000-0700","23.4"
"2018-08-06T03:10:00.000-0700","19.5"
"2018-08-06T03:15:00.000-0700",6
"2018-08-06T03:20:00.000-0700","20.8"
"2018-08-06T03:25:00.000-0700",12
"2018-08-06T03:30:00.000-0700",12
"2018-08-06T03:35:00.000-0700",11
"2018-08-06T03:40:00.000-0700",11
"2018-08-06T03:45:00.000-0700",11
"2018-08-06T03:50:00.000-0700",11
"2018-08-06T03:55:00.000-0700",12
"2018-08-06T04:00:00.000-0700",12
"2018-08-06T04:05:00.000-0700","20.4"
"2018-08-06T04:10:00.000-0700","16.5"
"2018-08-06T04:15:00.000-0700","9.9"
"2018-08-06T04:20:00.000-0700","13.2"
"2018-08-06T04:25:00.000-0700","10.8"
"2018-08-06T04:30:00.000-0700","7.7"
"2018-08-06T04:35:00.000-0700","9.9"
"2018-08-06T04:40:00.000-0700","4.4"
"2018-08-06T04:45:00.000-0700",18
"2018-08-06T04:50:00.000-0700",11
"2018-08-06T04:55:00.000-0700",11
"2018-08-06T05:00:00.000-0700",12
"2018-08-06T05:05:00.000-0700",14
"2018-08-06T05:10:00.000-0700",14
"2018-08-06T05:15:00.000-0700",14
"2018-08-06T05:20:00.000-0700",16
"2018-08-06T05:25:00.000-0700",17
"2018-08-06T05:30:00.000-0700",18
